user_id,credit_archetype,loans_taken,credit_risk_label,final_credit_limit,total_transactions
USER_000000,responsible_borrower,2,0,78.125,21
USER_000001,risky_borrower,1,2,50.0,17
USER_000002,occasional_borrower,1,0,62.5,22
USER_000003,non_borrower,0,-1,0.0,17
USER_000004,responsible_borrower,1,0,62.5,13
USER_000005,responsible_borrower,2,0,78.125,14
USER_000006,responsible_borrower,2,1,62.5,21
USER_000007,responsible_borrower,2,0,78.125,16
USER_000008,non_borrower,0,-1,0.0,17
USER_000009,occasional_borrower,2,1,62.5,22
USER_000010,occasional_borrower,2,1,62.5,13
USER_000011,risky_borrower,4,1,50.0,31
USER_000012,non_borrower,0,-1,0.0,15
USER_000013,non_borrower,0,-1,0.0,9
USER_000014,responsible_borrower,1,0,62.5,10
USER_000015,responsible_borrower,3,1,78.125,21
USER_000016,responsible_borrower,2,0,78.125,16
USER_000017,non_borrower,0,-1,0.0,12
USER_000018,responsible_borrower,3,0,97.65625,23
USER_000019,non_borrower,0,-1,0.0,17
USER_000020,risky_borrower,2,1,50.0,17
USER_000021,non_borrower,0,-1,0.0,10
USER_000022,responsible_borrower,3,0,97.65625,16
USER_000023,occasional_borrower,1,1,50.0,18
USER_000024,non_borrower,0,-1,0.0,16
USER_000025,non_borrower,0,-1,0.0,15
USER_000026,occasional_borrower,1,1,50.0,13
USER_000027,risky_borrower,3,1,50.0,20
USER_000028,non_borrower,0,-1,0.0,23
USER_000029,risky_borrower,2,1,50.0,19
USER_000030,responsible_borrower,2,1,62.5,16
USER_000031,non_borrower,0,-1,0.0,13
USER_000032,non_borrower,0,-1,0.0,12
USER_000033,non_borrower,0,-1,0.0,12
USER_000034,non_borrower,0,-1,0.0,19
USER_000035,responsible_borrower,2,0,78.125,19
USER_000036,non_borrower,0,-1,0.0,17
USER_000037,non_borrower,0,-1,0.0,18
USER_000038,non_borrower,0,-1,0.0,13
USER_000039,non_borrower,0,-1,0.0,15
USER_000040,occasional_borrower,2,0,78.125,20
USER_000041,non_borrower,0,-1,0.0,22
USER_000042,responsible_borrower,2,0,78.125,18
USER_000043,occasional_borrower,1,1,50.0,19
USER_000044,occasional_borrower,1,0,62.5,17
USER_000045,occasional_borrower,2,1,62.5,17
USER_000046,responsible_borrower,2,0,78.125,14
USER_000047,non_borrower,0,-1,0.0,19
USER_000048,risky_borrower,3,1,50.0,22
USER_000049,non_borrower,0,-1,0.0,14
USER_000050,responsible_borrower,3,0,97.65625,27
USER_000051,non_borrower,0,-1,0.0,10
USER_000052,non_borrower,0,-1,0.0,14
USER_000053,non_borrower,0,-1,0.0,20
USER_000054,non_borrower,0,-1,0.0,17
USER_000055,occasional_borrower,2,1,62.5,22
USER_000056,non_borrower,0,-1,0.0,17
USER_000057,responsible_borrower,2,1,62.5,22
USER_000058,non_borrower,0,-1,0.0,18
USER_000059,occasional_borrower,2,1,50.0,22
USER_000060,responsible_borrower,3,0,97.65625,20
USER_000061,responsible_borrower,2,0,78.125,20
USER_000062,responsible_borrower,4,0,122.0703125,31
USER_000063,non_borrower,0,-1,0.0,16
USER_000064,non_borrower,0,-1,0.0,15
USER_000065,non_borrower,0,-1,0.0,14
USER_000066,risky_borrower,1,2,50.0,8
USER_000067,non_borrower,0,-1,0.0,11
USER_000068,responsible_borrower,4,0,122.0703125,24
USER_000069,responsible_borrower,2,0,78.125,26
USER_000070,non_borrower,0,-1,0.0,13
USER_000071,risky_borrower,1,1,50.0,12
USER_000072,responsible_borrower,4,0,122.0703125,26
USER_000073,occasional_borrower,2,0,78.125,19
USER_000074,non_borrower,0,-1,0.0,13
USER_000075,occasional_borrower,1,1,50.0,16
USER_000076,non_borrower,0,-1,0.0,12
USER_000077,non_borrower,0,-1,0.0,16
USER_000078,occasional_borrower,2,1,62.5,16
USER_000079,non_borrower,0,-1,0.0,19
USER_000080,responsible_borrower,2,0,78.125,22
USER_000081,defaulter,1,2,50.0,21
USER_000082,risky_borrower,2,0,50.0,15
USER_000083,non_borrower,0,-1,0.0,10
USER_000084,responsible_borrower,3,1,78.125,22
USER_000085,responsible_borrower,3,0,97.65625,23
USER_000086,non_borrower,0,-1,0.0,19
USER_000087,responsible_borrower,3,0,97.65625,31
USER_000088,risky_borrower,1,2,50.0,17
USER_000089,responsible_borrower,2,0,78.125,17
USER_000090,non_borrower,0,-1,0.0,16
USER_000091,responsible_borrower,2,0,78.125,12
USER_000092,risky_borrower,3,1,50.0,26
USER_000093,responsible_borrower,2,0,78.125,21
USER_000094,responsible_borrower,3,0,97.65625,23
USER_000095,responsible_borrower,2,0,78.125,19
USER_000096,responsible_borrower,2,0,78.125,14
USER_000097,occasional_borrower,2,0,78.125,22
USER_000098,risky_borrower,4,1,50.0,33
USER_000099,occasional_borrower,2,1,62.5,19
USER_000100,responsible_borrower,2,0,78.125,20
USER_000101,non_borrower,0,-1,0.0,21
USER_000102,responsible_borrower,2,0,78.125,27
USER_000103,risky_borrower,3,1,50.0,24
USER_000104,responsible_borrower,2,0,78.125,22
USER_000105,responsible_borrower,3,1,78.125,25
USER_000106,non_borrower,0,-1,0.0,10
USER_000107,responsible_borrower,3,0,97.65625,22
USER_000108,occasional_borrower,1,0,62.5,17
USER_000109,occasional_borrower,1,0,62.5,13
USER_000110,responsible_borrower,4,0,122.0703125,24
USER_000111,responsible_borrower,3,1,78.125,21
USER_000112,non_borrower,0,-1,0.0,23
USER_000113,risky_borrower,1,1,50.0,8
USER_000114,responsible_borrower,2,0,78.125,22
USER_000115,non_borrower,0,-1,0.0,17
USER_000116,responsible_borrower,2,0,78.125,17
USER_000117,responsible_borrower,2,1,62.5,15
USER_000118,responsible_borrower,2,0,78.125,15
USER_000119,responsible_borrower,3,0,97.65625,17
USER_000120,non_borrower,0,-1,0.0,20
USER_000121,occasional_borrower,2,1,62.5,19
USER_000122,non_borrower,0,-1,0.0,18
USER_000123,non_borrower,0,-1,0.0,11
USER_000124,responsible_borrower,2,0,78.125,22
USER_000125,responsible_borrower,3,0,97.65625,20
USER_000126,occasional_borrower,2,1,62.5,17
USER_000127,responsible_borrower,2,0,78.125,21
USER_000128,non_borrower,0,-1,0.0,15
USER_000129,responsible_borrower,1,1,50.0,9
USER_000130,responsible_borrower,1,0,62.5,13
USER_000131,occasional_borrower,2,1,62.5,23
USER_000132,non_borrower,0,-1,0.0,15
USER_000133,non_borrower,0,-1,0.0,13
USER_000134,responsible_borrower,1,0,62.5,10
USER_000135,non_borrower,0,-1,0.0,18
USER_000136,risky_borrower,1,2,50.0,14
USER_000137,risky_borrower,3,1,50.0,21
USER_000138,non_borrower,0,-1,0.0,17
USER_000139,responsible_borrower,2,0,78.125,23
USER_000140,responsible_borrower,3,0,97.65625,25
USER_000141,non_borrower,0,-1,0.0,16
USER_000142,responsible_borrower,2,0,78.125,18
USER_000143,responsible_borrower,3,0,97.65625,23
USER_000144,responsible_borrower,2,0,78.125,15
USER_000145,non_borrower,0,-1,0.0,18
USER_000146,occasional_borrower,1,0,62.5,15
USER_000147,responsible_borrower,2,1,62.5,21
USER_000148,occasional_borrower,1,1,50.0,17
USER_000149,non_borrower,0,-1,0.0,14
USER_000150,responsible_borrower,2,0,78.125,16
USER_000151,occasional_borrower,2,1,62.5,16
USER_000152,non_borrower,0,-1,0.0,17
USER_000153,responsible_borrower,2,0,78.125,19
USER_000154,non_borrower,0,-1,0.0,22
USER_000155,responsible_borrower,2,1,62.5,16
USER_000156,non_borrower,0,-1,0.0,20
USER_000157,non_borrower,0,-1,0.0,14
USER_000158,non_borrower,0,-1,0.0,20
USER_000159,occasional_borrower,2,0,78.125,20
USER_000160,non_borrower,0,-1,0.0,16
USER_000161,non_borrower,0,-1,0.0,14
USER_000162,non_borrower,0,-1,0.0,20
USER_000163,defaulter,1,2,50.0,16
USER_000164,occasional_borrower,1,0,62.5,22
USER_000165,non_borrower,0,-1,0.0,21
USER_000166,non_borrower,0,-1,0.0,18
USER_000167,occasional_borrower,2,1,62.5,24
USER_000168,non_borrower,0,-1,0.0,14
USER_000169,occasional_borrower,1,0,62.5,14
USER_000170,occasional_borrower,1,2,50.0,15
USER_000171,non_borrower,0,-1,0.0,11
USER_000172,defaulter,1,2,50.0,17
USER_000173,non_borrower,0,-1,0.0,16
USER_000174,responsible_borrower,4,0,122.0703125,30
USER_000175,non_borrower,0,-1,0.0,15
USER_000176,non_borrower,0,-1,0.0,9
USER_000177,responsible_borrower,2,0,78.125,16
USER_000178,responsible_borrower,2,0,78.125,21
USER_000179,responsible_borrower,2,0,78.125,21
USER_000180,occasional_borrower,2,0,78.125,22
USER_000181,non_borrower,0,-1,0.0,15
USER_000182,risky_borrower,1,1,50.0,11
USER_000183,responsible_borrower,2,0,78.125,21
USER_000184,non_borrower,0,-1,0.0,19
USER_000185,non_borrower,0,-1,0.0,19
USER_000186,non_borrower,0,-1,0.0,19
USER_000187,responsible_borrower,3,1,78.125,22
USER_000188,non_borrower,0,-1,0.0,17
USER_000189,responsible_borrower,2,0,78.125,17
USER_000190,responsible_borrower,3,1,78.125,22
USER_000191,responsible_borrower,2,0,78.125,20
USER_000192,non_borrower,0,-1,0.0,16
USER_000193,responsible_borrower,2,1,62.5,21
USER_000194,responsible_borrower,3,0,97.65625,16
USER_000195,risky_borrower,4,1,50.0,29
USER_000196,responsible_borrower,2,0,78.125,20
USER_000197,non_borrower,0,-1,0.0,20
USER_000198,defaulter,1,2,50.0,18
USER_000199,non_borrower,0,-1,0.0,12
USER_000200,risky_borrower,2,1,50.0,14
USER_000201,responsible_borrower,3,0,97.65625,22
USER_000202,responsible_borrower,2,0,78.125,21
USER_000203,non_borrower,0,-1,0.0,12
USER_000204,non_borrower,0,-1,0.0,13
USER_000205,non_borrower,0,-1,0.0,13
USER_000206,non_borrower,0,-1,0.0,16
USER_000207,occasional_borrower,1,1,50.0,11
USER_000208,responsible_borrower,4,0,122.0703125,23
USER_000209,non_borrower,0,-1,0.0,15
USER_000210,defaulter,1,2,50.0,17
USER_000211,non_borrower,0,-1,0.0,16
USER_000212,responsible_borrower,1,0,62.5,11
USER_000213,non_borrower,0,-1,0.0,14
USER_000214,non_borrower,0,-1,0.0,15
USER_000215,non_borrower,0,-1,0.0,17
USER_000216,occasional_borrower,1,0,62.5,14
USER_000217,non_borrower,0,-1,0.0,11
USER_000218,non_borrower,0,-1,0.0,8
USER_000219,occasional_borrower,1,0,62.5,18
USER_000220,risky_borrower,2,1,50.0,19
USER_000221,responsible_borrower,2,1,62.5,16
USER_000222,responsible_borrower,2,0,78.125,23
USER_000223,non_borrower,0,-1,0.0,15
USER_000224,responsible_borrower,3,0,97.65625,23
USER_000225,non_borrower,0,-1,0.0,10
USER_000226,responsible_borrower,2,0,78.125,15
USER_000227,responsible_borrower,3,0,97.65625,19
USER_000228,risky_borrower,4,1,50.0,30
USER_000229,responsible_borrower,3,1,78.125,25
USER_000230,non_borrower,0,-1,0.0,9
USER_000231,occasional_borrower,1,0,62.5,11
USER_000232,responsible_borrower,4,1,97.65625,29
USER_000233,risky_borrower,1,2,50.0,16
USER_000234,risky_borrower,3,1,50.0,20
USER_000235,responsible_borrower,2,0,78.125,16
USER_000236,responsible_borrower,3,0,97.65625,21
USER_000237,non_borrower,0,-1,0.0,11
USER_000238,non_borrower,0,-1,0.0,12
USER_000239,non_borrower,0,-1,0.0,14
USER_000240,defaulter,1,2,50.0,17
USER_000241,occasional_borrower,2,1,62.5,24
USER_000242,risky_borrower,2,1,50.0,15
USER_000243,responsible_borrower,2,0,78.125,21
USER_000244,risky_borrower,2,2,50.0,24
USER_000245,risky_borrower,1,2,50.0,17
USER_000246,non_borrower,0,-1,0.0,17
USER_000247,risky_borrower,5,1,50.0,33
USER_000248,responsible_borrower,2,0,78.125,15
USER_000249,non_borrower,0,-1,0.0,16
USER_000250,responsible_borrower,2,0,78.125,17
USER_000251,non_borrower,0,-1,0.0,14
USER_000252,risky_borrower,2,2,50.0,10
USER_000253,occasional_borrower,1,1,50.0,16
USER_000254,risky_borrower,1,2,50.0,18
USER_000255,occasional_borrower,2,1,62.5,18
USER_000256,responsible_borrower,2,0,78.125,13
USER_000257,responsible_borrower,3,1,78.125,23
USER_000258,occasional_borrower,1,1,50.0,16
USER_000259,responsible_borrower,3,1,78.125,28
USER_000260,responsible_borrower,2,0,78.125,18
USER_000261,responsible_borrower,2,0,78.125,18
USER_000262,non_borrower,0,-1,0.0,18
USER_000263,non_borrower,0,-1,0.0,17
USER_000264,responsible_borrower,2,0,78.125,15
USER_000265,responsible_borrower,2,1,50.0,19
USER_000266,non_borrower,0,-1,0.0,16
USER_000267,occasional_borrower,2,0,78.125,21
USER_000268,responsible_borrower,2,0,78.125,17
USER_000269,responsible_borrower,3,0,97.65625,23
USER_000270,responsible_borrower,2,0,78.125,15
USER_000271,responsible_borrower,3,0,97.65625,28
USER_000272,occasional_borrower,1,0,62.5,9
USER_000273,responsible_borrower,2,1,62.5,18
USER_000274,responsible_borrower,2,0,78.125,22
USER_000275,responsible_borrower,1,0,62.5,11
USER_000276,occasional_borrower,1,0,62.5,17
USER_000277,non_borrower,0,-1,0.0,14
USER_000278,responsible_borrower,3,0,97.65625,21
