user_id,credit_archetype,loans_taken,credit_risk_label,final_credit_limit,total_transactions
USER_000000,risky_borrower,2,1,50.0,10
USER_000001,responsible_borrower,3,0,97.65625,22
USER_000002,non_borrower,0,-1,0.0,16
USER_000003,responsible_borrower,2,0,78.125,20
USER_000004,non_borrower,0,-1,0.0,14
USER_000005,occasional_borrower,1,0,62.5,17
USER_000006,risky_borrower,1,0,50.0,8
USER_000007,responsible_borrower,2,0,78.125,20
USER_000008,responsible_borrower,2,1,62.5,22
USER_000009,non_borrower,0,-1,0.0,17
USER_000010,non_borrower,0,-1,0.0,10
USER_000011,risky_borrower,1,2,50.0,17
USER_000012,non_borrower,0,-1,0.0,14
USER_000013,non_borrower,0,-1,0.0,19
USER_000014,non_borrower,0,-1,0.0,11
USER_000015,responsible_borrower,2,1,62.5,16
USER_000016,responsible_borrower,2,0,78.125,21
USER_000017,responsible_borrower,2,1,62.5,13
USER_000018,responsible_borrower,2,0,78.125,31
USER_000019,non_borrower,0,-1,0.0,11
USER_000020,non_borrower,0,-1,0.0,13
USER_000021,occasional_borrower,1,1,50.0,20
USER_000022,non_borrower,0,-1,0.0,18
USER_000023,occasional_borrower,2,1,50.0,23
USER_000024,non_borrower,0,-1,0.0,15
USER_000025,responsible_borrower,2,0,78.125,16
USER_000026,responsible_borrower,2,0,78.125,17
USER_000027,defaulter,1,2,50.0,14
USER_000028,non_borrower,0,-1,0.0,15
USER_000029,non_borrower,0,-1,0.0,12
USER_000030,occasional_borrower,2,1,62.5,18
USER_000031,occasional_borrower,1,0,62.5,15
USER_000032,non_borrower,0,-1,0.0,16
USER_000033,risky_borrower,1,2,50.0,20
USER_000034,non_borrower,0,-1,0.0,21
USER_000035,responsible_borrower,2,0,78.125,22
USER_000036,risky_borrower,2,2,50.0,23
USER_000037,responsible_borrower,3,1,78.125,26
USER_000038,non_borrower,0,-1,0.0,13
USER_000039,non_borrower,0,-1,0.0,8
USER_000040,responsible_borrower,2,0,78.125,23
USER_000041,occasional_borrower,1,1,50.0,14
USER_000042,responsible_borrower,3,0,97.65625,18
USER_000043,occasional_borrower,1,0,62.5,16
USER_000044,non_borrower,0,-1,0.0,17
USER_000045,responsible_borrower,2,0,78.125,17
USER_000046,non_borrower,0,-1,0.0,16
USER_000047,non_borrower,0,-1,0.0,18
USER_000048,occasional_borrower,2,1,50.0,15
USER_000049,risky_borrower,3,1,50.0,21
USER_000050,responsible_borrower,2,0,78.125,18
USER_000051,responsible_borrower,3,0,97.65625,22
USER_000052,responsible_borrower,3,0,97.65625,17
USER_000053,responsible_borrower,2,0,78.125,16
USER_000054,responsible_borrower,2,0,78.125,19
USER_000055,responsible_borrower,3,0,97.65625,21
USER_000056,occasional_borrower,2,1,62.5,28
USER_000057,responsible_borrower,3,0,97.65625,20
USER_000058,responsible_borrower,2,0,78.125,26
USER_000059,responsible_borrower,3,0,97.65625,22
USER_000060,responsible_borrower,2,0,78.125,10
USER_000061,non_borrower,0,-1,0.0,14
USER_000062,risky_borrower,1,0,50.0,11
USER_000063,responsible_borrower,2,0,78.125,18
USER_000064,responsible_borrower,3,0,97.65625,18
USER_000065,occasional_borrower,1,0,62.5,18
USER_000066,defaulter,1,2,50.0,18
USER_000067,non_borrower,0,-1,0.0,26
USER_000068,non_borrower,0,-1,0.0,17
USER_000069,non_borrower,0,-1,0.0,13
USER_000070,non_borrower,0,-1,0.0,22
USER_000071,responsible_borrower,2,1,62.5,16
USER_000072,occasional_borrower,1,0,62.5,15
USER_000073,responsible_borrower,2,0,78.125,15
USER_000074,non_borrower,0,-1,0.0,21
USER_000075,responsible_borrower,2,0,78.125,23
USER_000076,responsible_borrower,3,1,78.125,22
USER_000077,non_borrower,0,-1,0.0,19
USER_000078,defaulter,1,2,50.0,14
USER_000079,responsible_borrower,3,0,97.65625,24
USER_000080,responsible_borrower,2,0,78.125,10
USER_000081,non_borrower,0,-1,0.0,20
USER_000082,non_borrower,0,-1,0.0,16
USER_000083,responsible_borrower,2,1,62.5,18
USER_000084,non_borrower,0,-1,0.0,16
USER_000085,non_borrower,0,-1,0.0,11
USER_000086,non_borrower,0,-1,0.0,17
USER_000087,non_borrower,0,-1,0.0,10
USER_000088,non_borrower,0,-1,0.0,17
USER_000089,responsible_borrower,2,0,78.125,24
USER_000090,risky_borrower,4,2,50.0,25
USER_000091,risky_borrower,3,1,50.0,18
USER_000092,occasional_borrower,1,1,50.0,16
USER_000093,non_borrower,0,-1,0.0,20
USER_000094,non_borrower,0,-1,0.0,12
USER_000095,responsible_borrower,2,0,78.125,11
USER_000096,responsible_borrower,2,0,78.125,19
USER_000097,non_borrower,0,-1,0.0,20
USER_000098,non_borrower,0,-1,0.0,18
USER_000099,risky_borrower,2,2,50.0,20
USER_000100,non_borrower,0,-1,0.0,13
USER_000101,non_borrower,0,-1,0.0,17
USER_000102,non_borrower,0,-1,0.0,13
USER_000103,responsible_borrower,3,1,78.125,23
USER_000104,responsible_borrower,2,0,78.125,14
USER_000105,responsible_borrower,2,0,78.125,14
USER_000106,responsible_borrower,2,0,78.125,16
USER_000107,responsible_borrower,3,0,97.65625,25
USER_000108,non_borrower,0,-1,0.0,8
USER_000109,responsible_borrower,3,0,97.65625,27
